jockey_id,jockey_name
00837,井上　俊彦
00838,加藤　和宏
00839,戸部　尚実
00840,植栗　守
00841,村上　正和
00842,Ｊ．マーシャル
00843,Ｇ．モッセ
00844,Ｃ．アントレー
00845,Ｒ．コクレーン
00846,Ｆ．ヘッド
00847,Ｃ．マッキャロン
00848,Ｊ．Ａ．リード
00849,Ｒ．ロメロ
00850,Ｐ．レンメルト
00851,佐々木　清明
00852,白坂　芳文
00853,野崎　武司
00854,堀　千亜樹
00855,Ｒ．クィン
00856,Ｒ．ベイズ
00857,Ｊ．ベラスケス
00860,小佐井　盛行
00861,古川　哲也
00862,三小田　幸人
00863,石崎　隆之
00864,河津　裕昭
00865,Ｄ．ブフ
00866,Ｊ．クローン
00867,Ｊ．サントス
00868,Ｃ．ブラック
00869,Ｍ．Ａ．クラーク
00870,Ｋ．Ｊ．モーゼス
00871,Ｄ．Ｗ．ガウチ
00872,早田　秀治
00873,小竹　清一
00874,鈴木　啓之
00875,Ｌ．デットーリ
00876,Ａ．バデル
00877,Ｍ．ロバーツ
00878,Ｔ．ジャルネ
00879,Ｇ．スティーヴンス
00880,Ｓ．ダイ
00881,Ａ．ムンロ
00882,Ｊ．ムルタ
00883,Ｃ．ナカタニ
00884,Ｍ．Ｋ．ウォルス
00885,Ｌ．Ｖ．キャシディ
00886,渡辺　壮
00887,Ｇ．ダフィールド
00888,Ｄ．ビードマン
00889,Ｍ．ブータン
00890,Ｒ．ヒューズ
00891,Ｅ．プラード
00892,Ｆ．アーゲリョＪｒ．
00893,Ｃ．Ｎ．カーモディ
00894,小牧　太
00895,Ｄ．オリヴァー
00896,Ｅ．サンマルタン
00897,Ｋ．デザーモ
00898,Ｍ．Ｅ．リマー
00899,Ｂ．マーカス
00901,赤間　清松
00907,桑島　孝春
00908,坂本　敏美
00912,雑賀　秀介
00914,高橋　三郎
00920,山田　義男
00923,Ｗ．スウィンバーン
00924,Ｈ．ホワイト
00925,Ｊ．キャシディ
00926,Ａ．マルチャリス
00927,Ｅ．アプター
00928,Ａ．グレール
00929,Ｄ．クラーク
00931,Ｎ．バレット
00932,Ａ．エブラヒム
00933,Ａ．ダ．クルーズ
00934,Ａ．カデール
00935,Ｙ．ジー
00936,Ｌ．デニス
00937,Ｄ．ウォルシュ
00938,Ｅ．ドミンゴＪｒ．
00939,Ａ．オズデニス
00940,成田　明
00942,本間　光雄
00943,田部　和広
00944,平　和人
00945,安藤　勝己
00946,内沢　信昭
00948,田中　道夫
00949,本名　信行
00950,花村　通春
00951,秋吉　和美
00952,渡辺　市郎
00953,Ｍ．ジャグデ
00954,Ｍ．チュルグン
00955,Ｒ．ミグリオーレ
00956,Ｃ．アスムッセン
00957,Ｗ．シューメーカー
00958,Ｌ．ダフィー
00959,Ｇ．スターバウム
00960,Ｐ．Ｊ．スーター
00961,川野　勇馬
00962,寺嶋　正勝
00963,日下部　一二三
00964,佐々木　一夫
00965,鈴木　春雄
00966,西川　栄二
00967,山崎　尋美
00968,Ｇ．ムーア
00969,Ｇ．デットーリ
00970,Ｍ．ホーファー
00971,Ｌ．ピゴット
00972,Ｄ．マクベス
00973,Ｒ．Ｄ．バンス
00974,Ｍ．キネーン
00975,井上　孝彦
00976,原口　次夫
